,GDP_United States 270-step difference,yield_spread_30Y_6M 30-step return,GDP_QoQ_diff_Chile_US 90-step difference,Imports in goods (value)_United States 30-step difference,yield_spread_Chile_US_10Y 30-step difference,BBG_Soybeans_Index 90-step return,BBG_Cocoa_Index 60-step difference,import_export_total_Chile 30-step difference,Consumer Price Index: All Items: Total: Total for Chile 30-step difference,BBG_Copper_Index 60-step difference,CLPUSD_wins
2022-08-17,233122.09999999776,-0.8811881188118811,-0.0030630591356558996,-7.437000000000012,0.04499999999999993,-0.08415058525782981,-0.9130000000000038,-0.6202989999999993,1.8304475335260122,-40.5,0.001135
2022-08-18,233122.09999999776,-0.652173913043478,-0.0030630591356558996,-7.437000000000012,-0.1259999999999999,-0.08210499905914825,-0.8885000000000005,-0.6202989999999993,1.8304475335260122,-36.39000000000004,0.001115
2022-08-19,233122.09999999776,-0.35119047619047716,-0.0030630591356558996,-7.437000000000012,-0.1649999999999996,-0.08292040393903277,-1.8833000000000055,-0.6202989999999993,1.8304475335260122,-33.25,0.0010762
2022-08-20,233122.09999999776,-0.026785714285715967,-0.0030630591356558996,-7.437000000000012,0.03000000000000025,-0.08292040393903277,-2.630200000000002,-0.6202989999999993,1.8304475335260122,-34.95999999999998,0.001076
2022-08-21,233122.09999999776,0.2507936507936521,-0.0030630591356558996,-7.437000000000012,0.16009999999999902,-0.07300681566016798,-2.2954000000000008,-0.6202989999999993,1.8304475335260122,-26.120000000000005,0.001076
2022-08-22,233122.09999999776,-0.2222222222222251,-0.0030630591356558996,-7.437000000000012,0.16599999999999993,-0.055722273114950815,-2.2609999999999957,-0.6202989999999993,1.8304475335260122,-9.419999999999959,0.0010735999999999
2022-08-23,233122.09999999776,0.41962421711899567,-0.0030630591356558996,-7.437000000000012,0.1825000000000001,-0.0319409537746953,-3.0293000000000063,-0.6202989999999993,1.8304475335260122,-5.839999999999975,0.0010689999999999
2022-08-24,233122.09999999776,0.13978494623655813,-0.0030630591356558996,-7.437000000000012,0.14900000000000002,-0.06002973609218187,-1.3608000000000047,-0.6202989999999993,1.8304475335260122,-9.729999999999961,0.001091
2022-08-25,233122.09999999776,-0.6551724137931125,-0.0030630591356558996,-7.437000000000012,0.18100000000000005,-0.07971350066376481,-0.9616000000000042,-0.6202989999999993,1.8304475335260122,-5.259999999999991,0.001086
2022-08-26,233122.09999999776,-1.2692307692307687,-0.0030630591356558996,-7.437000000000012,0.33099999999999996,-0.06041801735049879,-0.5844000000000023,-0.6202989999999993,1.8304475335260122,-7.279999999999973,0.001114
2022-08-27,233122.09999999776,-1.1055276381909542,-0.0030630591356558996,-7.437000000000012,0.3860000000000001,-0.06041801735049879,-0.4181999999999988,-0.6202989999999993,1.8304475335260122,-8.539999999999964,0.001114
2022-08-28,233122.09999999776,-1.4666666666666643,-0.0030630591356558996,-7.437000000000012,0.41049999999999986,-0.06041801735049879,0.3382999999999967,-0.6202989999999993,1.8304475335260122,-8.579999999999984,0.001114
2022-08-29,233122.09999999776,-1.6576576576576585,-0.0030630591356558996,-7.437000000000012,0.3799999999999999,-0.048610007942811784,0.8330999999999946,-0.6202989999999993,1.8304475335260122,-9.990000000000009,0.00112
2022-08-30,233122.09999999776,-1.938438438438439,-0.0030630591356558996,0.0,0.43510000000000026,-0.05603366449408331,1.3412999999999968,0.0,0.0,-5.800000000000011,0.001134
2022-08-31,233122.09999999776,-7.333333333333515,-0.0030630591356558996,-3.4839999999999804,0.351,-0.08374826039894867,1.4495000000000005,-0.17587299999999928,1.645223675967003,-8.710000000000036,0.001124
2022-09-01,233122.09999999776,-0.6666666666667445,-0.0030630591356558996,-3.4839999999999804,0.27300000000000013,-0.08495558495558486,0.5165000000000006,-0.17587299999999928,1.645223675967003,-18.730000000000018,0.001115
2022-09-02,233122.09999999776,-0.4166666666666583,-0.0030630591356558996,-3.4839999999999804,0.2599999999999998,-0.06807156807156789,1.519999999999996,-0.17587299999999928,1.645223675967003,-18.100000000000023,0.001115
2022-09-03,233122.09999999776,-1.6363636363636687,-0.0030630591356558996,-3.4839999999999804,0.3109999999999995,-0.06807156807156789,1.4893999999999963,-0.17587299999999928,1.645223675967003,-1.1299999999999955,0.001115
2022-09-04,233122.09999999776,-8.0000000000015,-0.0030630591356558996,-3.4839999999999804,0.1299999999999999,-0.0688928054384087,0.6221999999999994,-0.17587299999999928,1.645223675967003,-0.5,0.001115
2022-09-05,233122.09999999776,9.500000000001998,-0.0030630591356558996,-3.4839999999999804,0.2987000000000002,-0.08450922143829687,0.6617999999999995,-0.17587299999999928,1.645223675967003,-15.220000000000027,0.001139
2022-09-06,233122.09999999776,5.293706293706359,-0.0030630591356558996,-3.4839999999999804,0.3206000000000002,-0.10541992937202516,0.45599999999999596,-0.17587299999999928,1.645223675967003,-6.390000000000043,0.001135
2022-09-07,233122.09999999776,-0.5061728395061722,-0.0030630591356558996,-3.4839999999999804,0.2909999999999999,-0.12724133753331734,0.06419999999999959,-0.17587299999999928,1.645223675967003,-9.210000000000036,0.00112
2022-09-08,233122.09999999776,-0.8085106382978716,-0.0030630591356558996,-3.4839999999999804,0.33499999999999996,-0.11616300786871192,-0.3901000000000039,-0.17587299999999928,1.645223675967003,-0.5800000000000409,0.001132
2022-09-09,233122.09999999776,5.923076923076748,-0.0030630591356558996,-3.4839999999999804,0.4370000000000007,-0.09942990110529382,-0.8870000000000005,-0.17587299999999928,1.645223675967003,11.299900000000036,0.001134
2022-09-10,233122.09999999776,-1.6923076923076914,-0.0030630591356558996,-3.4839999999999804,0.3920000000000008,-0.09942990110529382,-0.48910000000000053,-0.17587299999999928,1.645223675967003,24.0899,0.001134
2022-09-11,233122.09999999776,-2.9372549019607996,-0.0030630591356558996,-3.4839999999999804,0.3656999999999999,-0.07921612822439272,0.5839999999999961,-0.17587299999999928,1.645223675967003,20.999900000000025,0.001134
2022-09-12,233122.09999999776,-1.7254901960784337,-0.0030630591356558996,-3.4839999999999804,0.4140000000000006,-0.02427046935499111,2.3166999999999973,-0.17587299999999928,1.645223675967003,34.75999999999999,0.001105
