,Chicago Fed National Financial Conditions Index 7-step difference,BBG_Cocoa_Index 90-step difference,yield_spread_Chile_US_10Y 14-step return,US GBond 2Y 30-step return,S&P CLX IPSA 14-step difference,import_export_total_Chile 30-step return,BBG_Soybeans_Index 14-step return,BBG_Coffee_Index 30-step difference,yield_spread_30Y_6M 7-step return,Economic Policy Uncertainty Index for United States 60-step return,Consumer Price Index: All Items: Total: Total for Chile 30-step difference,import_export_total_US 60-step return,CLPUSD_wins
2019-08-09,0.013850000000000029,-1.7713999999999999,-0.027272727272726893,-0.10733844468784237,-67.98999999999978,0.013975652116742676,-0.0103050288540808,-0.6614000000000004,-0.21220159151193618,-0.4302899444787168,0.25059698375700634,-0.016927683420935757,0.0014292
2019-08-10,0.013850000000000029,-1.7713999999999999,-0.027272727272726893,-0.11987041036717072,-67.98999999999978,0.013975652116742676,-0.0103050288540808,-0.7421000000000006,-0.21220159151193618,-0.5568181818181819,0.25059698375700634,-0.016927683420935757,0.001429
2019-08-11,0.013850000000000029,-1.233399999999996,-0.027272727272726893,-0.11364872213159327,-67.98999999999978,0.013975652116742676,-0.0103050288540808,-0.7189999999999994,-0.17855227882037583,0.06825820908385771,0.25059698375700634,-0.016927683420935757,0.001429
2019-08-12,0.013850000000000029,-1.3292000000000002,0.009009009009008917,-0.140837411636759,-173.1800000000003,0.013975652116742676,-0.027635979581059678,-0.9791999999999996,-0.35526315789473684,-0.23827066101341488,0.25059698375700634,-0.016927683420935757,0.0014226
2019-08-13,0.013850000000000029,-2.8070999999999984,-0.02838827838827851,-0.0924415443175639,-155.5,0.013975652116742676,-0.008638031002248248,-0.7970999999999995,-0.3507462686567172,-0.5167850003446612,0.25059698375700634,-0.016927683420935757,0.001421
2019-08-14,0.013850000000000029,-3.970000000000006,0.11189516129032273,-0.13966175668303327,-191.32999999999993,0.013975652116742676,-0.003972553268327905,-1.2069999999999999,-0.5436507936507924,-0.23807624366060742,0.25059698375700634,-0.016927683420935757,0.0014202
2019-08-15,0.013850000000000029,-3.684900000000006,0.03135888501742179,-0.19656283566058008,-159.78000000000065,0.013975652116742676,0.006377238165317545,-0.8385999999999996,-0.5539033457249078,-0.27329974811083124,0.25059698375700634,-0.016927683420935757,0.00142
2019-08-16,0.01473000000000002,-3.9222000000000037,0.10674157303370801,-0.19498910675381265,-86.76999999999953,0.013975652116742676,0.012951310403812144,-1.1031000000000004,-0.4814814814814816,0.2866358325219085,0.25059698375700634,-0.016927683420935757,0.0014168
2019-08-17,0.01473000000000002,-3.9222000000000037,0.10674157303370801,-0.1677927927927928,-86.76999999999953,0.013975652116742676,0.012951310403812144,-1.1953000000000005,-0.4814814814814816,0.2037581141100102,0.25059698375700634,-0.016927683420935757,0.001416
2019-08-18,0.01473000000000002,-4.678200000000004,0.10674157303370801,-0.1861233480176212,-86.76999999999953,0.013975652116742676,0.012951310403812144,-1.0954000000000006,-0.33550913838120044,1.527538836821158,0.25059698375700634,-0.016927683420935757,0.001416
2019-08-19,0.01473000000000002,-5.881,-0.06130903065451543,-0.1536343612334803,6.619999999999891,0.013975652116742676,-0.002626114571882332,-1.2103000000000002,0.020408163265306145,0.24145024427873496,0.25059698375700634,-0.016927683420935757,0.0014135999999999
2019-08-20,0.01473000000000002,-5.528700000000001,0.051397655545536214,-0.16629955947136565,-0.8299999999999272,0.013975652116742676,0.0028804314518600105,-1.1770000000000005,-0.10919540229884894,0.2815224681421864,0.25059698375700634,-0.016927683420935757,0.0014122
2019-08-21,0.01473000000000002,-5.095100000000002,-0.02436901653611856,-0.13506063947078284,-26.579999999999927,0.013975652116742676,0.00722331047992153,-0.9041999999999994,0.3304347826086933,1.1897080808875602,0.25059698375700634,-0.016927683420935757,0.0014104
2019-08-22,0.01473000000000002,-5.494,-0.0009149130832569741,-0.12370572207084463,-171.60999999999967,0.013975652116742676,-0.016103833673837165,-0.6409000000000002,0.6000000000000034,-0.24295072628880665,0.25059698375700634,-0.016927683420935757,0.0014092
2019-08-23,0.012109999999999954,-5.316900000000004,0.06635514018691535,-0.16265060240963858,-264.4800000000005,0.013975652116742676,-0.03950734812875578,-0.6337999999999999,0.0,1.8984366576819407,0.25059698375700634,-0.016927683420935757,0.001409
2019-08-24,0.012109999999999954,-5.316900000000004,0.06635514018691535,-0.1761853448275863,-264.4800000000005,0.013975652116742676,-0.03950734812875578,-0.6069000000000004,0.0,4.205418520016175,0.25059698375700634,-0.016927683420935757,0.001409
2019-08-25,0.012109999999999954,-5.316900000000004,0.12775700934579404,-0.21748663101604282,-264.4800000000005,0.013975652116742676,-0.03950734812875578,-0.5377999999999998,-0.4572691552062883,1.2539470914321802,0.25059698375700634,-0.016927683420935757,0.001409
2019-08-26,0.012109999999999954,-4.950200000000002,0.016964285714285543,-0.1705882352941177,-210.88999999999942,0.013975652116742676,-0.013637460777214505,-0.4302999999999999,-0.2499999999999991,3.1819600499375786,0.25059698375700634,-0.016927683420935757,0.001422
2019-08-27,0.012109999999999954,-4.491199999999999,0.08105560791705968,-0.18021390374331558,-240.64000000000033,0.013975652116742676,-0.03348054428264513,-0.4562999999999997,-0.5225806451612909,0.3399752857584184,0.25059698375700634,-0.016927683420935757,0.001409
2019-08-28,0.012109999999999954,-4.3598,0.05711695376246584,-0.18702702702702712,-171.38999999999942,0.013975652116742676,-0.013959390862944177,-0.5340999999999996,-0.6143790849673196,0.3799376299376298,0.25059698375700634,-0.016927683420935757,0.001409
2019-08-29,0.012109999999999954,-5.011499999999998,-0.020270270270270507,-0.17207792207792205,-88.82999999999993,0.013975652116742676,-0.0026200341213746814,-0.5780000000000003,-0.5000000000000002,-0.1237654051219299,0.25059698375700634,0.007064343745927015,0.001409
2019-08-30,0.008670000000000067,-4.2014,0.03553299492385764,-0.20233050847457623,5.849999999999454,0.0,-0.012182618659911992,-0.47079999999999966,-0.41558441558441517,-0.3332378879853396,0.0,0.007064343745927015,0.0014082
2019-08-31,0.008670000000000067,-4.2014,0.03553299492385764,-0.12543554006968638,5.849999999999454,0.0339615848295316,-0.012182618659911992,-0.2864999999999993,-0.41558441558441517,-0.06314182625589781,0.2070148996249941,0.0018797700250539062,0.0014072
2019-09-01,0.008670000000000067,-3.1357,0.03553299492385764,-0.12543554006968638,5.849999999999454,0.0339615848295316,-0.012182618659911992,-0.3555999999999999,-0.1855203619909488,0.9195374990100578,0.2070148996249941,0.0018797700250539062,0.001407
2019-09-02,0.008670000000000067,-3.3367000000000004,0.07149161518093572,-0.12543554006968638,-13.270000000000437,0.0339615848295316,0.002939195395260441,-0.3555999999999999,-0.4013333333333331,1.3748451053283763,0.2070148996249941,0.0018797700250539062,0.001407
2019-09-03,0.008670000000000067,-3.7280000000000015,0.04459691252144116,-0.15098722415795585,-55.26000000000022,0.0339615848295316,0.0003055487655829747,-0.45199999999999996,0.013513513513512265,0.3127831937388439,0.2070148996249941,0.0018797700250539062,0.0014062
2019-09-04,0.008670000000000067,-3.7757999999999967,0.01338090990187335,-0.09412507896399247,-27.25,0.0339615848295316,0.002856448280053492,-0.18219999999999992,0.5593220338983025,-0.013613463393718606,0.2070148996249941,0.0018797700250539062,0.001406
2019-09-05,0.008670000000000067,-5.420700000000004,-0.031135531135531136,-0.04283054003724396,78.85999999999967,0.0339615848295316,-0.008366923170880725,-0.3785999999999996,0.8333333333333324,-0.4097479922459153,0.2070148996249941,0.0018797700250539062,0.0014028
2019-09-06,0.0046599999999999975,-4.719500000000004,-0.060473269062226054,-0.027371101209420656,173.64000000000033,0.0339615848295316,0.001486712506968857,-0.24480000000000057,0.6666666666666632,0.8111296142103801,0.2070148996249941,0.0018797700250539062,0.0014012
2019-09-07,0.0046599999999999975,-4.719500000000004,-0.060473269062226054,-0.055040197897340715,173.64000000000033,0.0339615848295316,0.001486712506968857,-0.2837000000000005,0.6666666666666632,3.005231689088191,0.2070148996249941,0.0018797700250539062,0.001401
2019-09-08,0.0046599999999999975,-6.053600000000003,-0.11162675064224747,-0.06257668711656439,173.64000000000033,0.0339615848295316,0.001486712506968857,-0.2746000000000004,0.6722222222222223,1.8224462954844367,0.2070148996249941,0.0018797700250539062,0.0014001999999999
2019-09-09,0.0046599999999999975,-5.402200000000001,-0.07374890254609312,-0.033742331288343475,243.98999999999978,0.0339615848295316,-0.010950691300624094,-0.1856,1.5167037861915307,-0.36594761171032353,0.2070148996249941,0.0018797700250539062,0.001406
2019-09-10,0.0046599999999999975,-6.522000000000006,-0.1490845684394072,0.020858895705521574,275.3100000000004,0.0339615848295316,0.014819388700216152,0.06280000000000019,2.8400000000000047,-0.10842874879293696,0.2070148996249941,0.0018797700250539062,0.0013992
2019-09-11,0.0046599999999999975,-5.4199000000000055,-0.08233276157804414,0.056962025316455556,347.3599999999997,0.0339615848295316,0.000858000858001029,0.45650000000000013,2.532608695652176,-0.539031114612052,0.2070148996249941,0.0018797700250539062,0.001404
2019-09-12,0.0046599999999999975,-4.782299999999999,-0.1439655172413793,0.034751348112642244,282.60000000000036,0.0339615848295316,0.031095363186511182,0.2892999999999999,1.079545454545455,0.7170973814821153,0.2070148996249941,0.0018797700250539062,0.001399
2019-09-13,0.0033600000000000296,-4.386499999999998,-0.18464052287581711,0.14267596702599872,200.0699999999997,0.0339615848295316,0.03419012149703882,0.35960000000000036,2.0466666666666717,0.42845269427898613,0.2070148996249941,0.0018797700250539062,0.001411
2019-09-14,0.0033600000000000296,-4.386499999999998,-0.18464052287581711,0.20454545454545459,200.0699999999997,0.0339615848295316,0.03419012149703882,0.35220000000000073,2.0466666666666717,0.9294139674218311,0.2070148996249941,0.0018797700250539062,0.001411
